array_length,n_threads,insertion_sort_threshold,elapsed_time
100000,2,1000,0.020012
100000,3,0,0.042830
100000,3,10,0.016663
100000,3,30,0.009153
100000,3,50,0.008579
100000,3,80,0.006377
100000,3,100,0.006242
100000,3,1000,0.015532
100000,4,0,0.051762
100000,4,10,0.018254
100000,4,30,0.009434
100000,4,50,0.007181
100000,4,80,0.006230
100000,4,100,0.005887
100000,4,1000,0.013707
100000,5,0,0.066411
100000,5,10,0.021877
100000,5,30,0.010506
100000,5,50,0.007667
100000,5,80,0.006147
100000,5,100,0.006178
100000,5,1000,0.012685
100000,6,0,0.079844
100000,6,10,0.025304
100000,6,30,0.011249
100000,6,50,0.008064
100000,6,80,0.006472
100000,6,100,0.005800
100000,6,1000,0.012699
100000,7,0,0.093638
100000,7,10,0.028341
100000,7,30,0.012050
100000,7,50,0.007865
100000,7,80,0.006203
100000,7,100,0.006184
100000,7,1000,0.012861
100000,8,0,0.098849
100000,8,10,0.029571
100000,8,30,0.012578
100000,8,50,0.009037
100000,8,80,0.006809
100000,8,100,0.005920
100000,8,1000,0.012687
1000000,1,0,0.247319
1000000,1,10,0.145184
1000000,1,30,0.126284
1000000,1,50,0.122973
1000000,1,80,0.131465
1000000,1,100,0.129638
1000000,1,1000,0.391032
1000000,2,0,0.479558
1000000,2,10,0.184642
1000000,2,30,0.104906
1000000,2,50,0.085212
1000000,2,80,0.076172
1000000,2,100,0.078688
1000000,2,1000,0.210183
1000000,3,0,0.418909
1000000,3,10,0.163498
1000000,3,30,0.089841
1000000,3,50,0.071266
1000000,3,80,0.062480
1000000,3,100,0.061001
1000000,3,1000,0.177120
1000000,4,0,0.540023
1000000,4,10,0.190598
1000000,4,30,0.094509
1000000,4,50,0.072796
1000000,4,80,0.056666
1000000,4,100,0.054389
1000000,4,1000,0.146013
1000000,5,0,0.706160
1000000,5,10,0.211134
1000000,5,30,0.095334
1000000,5,50,0.069376
1000000,5,80,0.056302
1000000,5,100,0.052685
1000000,5,1000,0.125865
1000000,6,0,0.869218
1000000,6,10,0.245346
1000000,6,30,0.101592
1000000,6,50,0.072568
1000000,6,80,0.055022
1000000,6,100,0.050577
1000000,6,1000,0.122907
1000000,7,0,0.998926
1000000,7,10,0.277550
1000000,7,30,0.108807
1000000,7,50,0.072454
1000000,7,80,0.054837
1000000,7,100,0.050162
1000000,7,1000,0.119076
